SessionID,AdClicks,InfoSectionCount,InfoSectionTime,HelpPageVisits,HelpPageTime,ItemBrowseCount,ItemBrowseTime,ExitRateFirstPage,SessionExitRatio,PageEngagementScore,HolidayProximityIndex,VisitMonth,UserPlatformID,WebClientCode,MarketZone,TrafficSourceCode,UserCategory,IsWeekendVisit,MonetaryConversion
i84gNcwIToHt5wuD,2,0,0,0,0,5,156,0,0.04,0,0,February,Windows,Safari,Other,3,Returning,FALSE,No
uUJuST6yOrHAqH1V,1,4,64.6,0,0,32,1135.444444,0.002857143,0.00952381,0,0,February,Android,Chrome,North America,3,Returning,FALSE,No
yED89qtIxitjZqfe,4,0,0,0,0,4,76,0.05,0.1,0,0,February,Windows,Safari,,3,Returning,FALSE,No
qhK1rBfCobmqqbOK,4,0,0,0,0,4,63,0,0.05,0,0.2,February,Android,Samsung Internet,North America,3,Returning,FALSE,No
AiczoGOSLrunJO1z,1,1,6,1,0,45,1582.75,0.043478261,0.050821256,54.17976426,0.4,February,iOS,Chrome,North America,1,Returning,FALSE,No
mzC6jYQvMA1Yg5Ia,2,0,0,0,0,2,35,0,0.1,0,0,February,Windows,Safari,Middle East,3,Returning,FALSE,No
mxYaMdsHoFO304EW,3,0,0,0,0,3,78,0,0.066666667,0,0,February,Windows,Chrome,,6,Returning,TRUE,No
nYxNrwvpSf2HTI9A,2,0,0,0,0,8,209.5,0,0.025,0,0,February,Android,Chrome,North America,1,Returning,FALSE,No
pdbJJcoG4qQHeIHm,4,0,0,0,0,10,183.6666667,0.04,0.08,,0,February,Windows,Safari,Asia-Pacific,1,Returning,FALSE,No
05LKuK5zCYA3OGQ7,0,0,0,0,0,14,380.5,0.014285714,0.028571429,0,0,February,Android,Chrome,North America,1,Returning,FALSE,No
J3MvGA7nqNkp9o0e,4,0,0,0,0,52,2086.242857,0.015384615,0.020352564,0,0,February,,,Oceania,1,Returning,FALSE,No
yZ7xzNwbKa0mWLUk,3,0,0,0,0,8,388,0.025,0.05625,0,0,February,iOS,Chrome,North America,4,Returning,TRUE,No
TdY8nPQtXkAY4JgU,1,2,18,0,0,5,298,0,0.028571429,0,0.8,February,Android,Chrome,Central America,4,Returning,FALSE,No
3GYtNLJOdbf7AVjj,0,0,0,0,0,7,63,0.028571429,0.071428571,0,0.6,February,Android,Chrome,North America,3,Returning,FALSE,No
vMsXxLE4a3qRBp3M,3,0,0,0,0,9,482,0,0.022222222,0,0,February,Android,Firefox,North America,6,Returning,FALSE,No
1IkYNyzypqczlpI8,,1,9,0,0,46,4084.393939,0,0.001794872,0,0,February,Android,Chrome,Central America,4,Returning,FALSE,No
UmJfeCCv0yAYWNFP,3,0,0,0,0,3,22,0,0.066666667,0,0.6,February,Windows,Safari,Asia-Pacific,2,Returning,FALSE,No
pvbSju8Yio7ydMtR,4,0,0,0,0,15,310.1666667,0,0.006666667,0,0,February,Windows,Safari,South America,,Returning,FALSE,No
MRp6qBvgw1cfT2R2,4,0,0,0,0,2,34,0,0.05,0,0.4,February,iOS,Chrome,Europe,3,Returning,FALSE,No
6QzOnJ9aX2QnCphQ,4,0,0,0,0,,,0,0.05,0,0,February,MacOS,Safari,North America,3,Returning,FALSE,No
DYOIemscWY9R8Y5o,,0,0,0,0,22,622.25,0.003030303,0.006060606,0,0.2,February,Android,Firefox,North America,4,Returning,FALSE,No
VCXPkLsoNZXrMwqe,2,0,0,0,0,14,222.4,0.017142857,0.057142857,0,0,February,,,North America,2,Returning,FALSE,No
dXYUFNjGTgazlvw2,0,0,0,0,0,3,80,0.066666667,0.133333333,0,0.2,February,iOS,Chrome,North America,3,Returning,FALSE,No
nMmpv0KG5UFxc8bt,3,0,0,0,0,,,0,0.003636364,0,0,February,iOS,Chrome,North America,3,Returning,FALSE,No
Ubif3u0zobO5GLjA,2,0,0,0,0,,,0.2,0.2,0,0.6,February,Android,,Asia-Pacific,2,Returning,FALSE,No
gpNUa73m6vOZN6kV,3,,,0,0,1,0,0.2,0.2,0,0,February,Windows,,Asia-Pacific,4,Returning,TRUE,No
2GEcSh9nI5VYOqhp,3,0,0,0,0,,,0.011111111,0.026111111,0,0.2,February,iOS,Chrome,North America,3,Returning,FALSE,No
8LHPCDOfb14kr8yx,1,0,0,0,0,2,29,0,0.1,0,1,February,Android,Edge,South America,2,Returning,TRUE,No
Ovz1jL1nTbxREYdd,3,0,0,0,0,4,160,0,0.075,0,,February,MacOS,Chrome,Europe,3,Returning,FALSE,No
NCT92npFVcukLMl8,3,0,0,0,0,4,135.6666667,0.05,0.025,0,0.4,February,iOS,Internet Explorer,North America,4,Returning,FALSE,No
CsNFpc7wfRVfQkmO,4,0,0,0,0,1,0,0.2,0.2,0,0.2,February,Android,Edge,North America,3,Returning,FALSE,No
DAkrZQH3JiJPDp0Z,0,0,0,0,0,1,0,0.2,0.2,0,0.6,February,iOS,Chrome,Asia-Pacific,3,Returning,FALSE,No
ZzQfNOhwjMEQ05yh,,4,56,2,120,36,998.7416667,0,0.014736467,19.44707913,0.2,February,Android,Chrome,South America,1,Returning,FALSE,No
VemWL0qOaz1de2VN,4,0,0,0,0,4,104,0,0.05,0,0.4,February,Android,Samsung Internet,Middle East,3,Returning,FALSE,No
Te8n9wZU3YciOqA9,1,2,16,0,0,16,381.6865079,0.011764706,0.046568627,0,0.6,February,Android,Edge,,1,Returning,FALSE,No
cnOxK1XfdSV6K5BP,4,0,0,0,0,6,169,0,0.016666667,0,0.4,February,Windows,Safari,Asia-Pacific,3,Returning,FALSE,No
7M6XdhmGi0SNsKhj,1,0,0,0,0,8,400.8,0.05,0.120833333,0,0,February,Windows,,North America,3,Returning,FALSE,No
3QFaosJDQ0bIUfEr,2,12,279.4166667,0,0,42,1553.583333,0.009,0.019666667,38.30849268,0,February,Windows,Safari,Asia-Pacific,2,Returning,FALSE,No
fSooytD8RZgA8v7t,3,0,0,0,0,14,706.5,0,0.007142857,0,0,February,Android,Chrome,Africa,4,Returning,TRUE,No
9snFDoQKtlOWHsGs,4,0,0,0,0,1,0,0.2,0.2,0,0,February,Android,Chrome,South America,3,Returning,FALSE,No
p7F0efkZts2wB6JP,2,3,87.83333333,0,0,27,798.3333333,0,0.012643678,22.9160357,0.8,February,Android,Chrome,Asia-Pacific,1,Returning,FALSE,Yes
9G1D5HJQWPNlDYfA,2,4,44,0,0,90,6951.972222,0.002150538,0.015013034,0,0,February,MacOS,Safari,North America,3,Returning,FALSE,No
6n2vo0NoPCuiz9VW,2,0,0,0,0,1,0,0.2,0.2,0,0.6,February,Android,,Africa,1,Returning,FALSE,No
7Z2jx5St0ckpUDLQ,1,0,0,0,0,18,902,0,0.007407407,0,0,February,Android,Vivaldi,Europe,4,Returning,FALSE,No
TH7jdU7ne9ZvrZql,1,0,0,0,0,1,0,0.2,0.2,0,0.2,February,iOS,Chrome,Asia-Pacific,3,Returning,FALSE,No
zSMMkAgRJP8rQHMI,1,0,0,0,0,1,0,0.2,0.2,0,0,February,Android,Samsung Internet,North America,2,Returning,FALSE,No
ZZ85OXiFYeyU9ruS,3,0,0,0,0,20,197.3777778,0.025,0.0525,0,0,February,Android,Samsung Internet,Middle East,1,Returning,FALSE,No
88jcdCe24usuYZeA,4,0,0,0,0,2,43,0,0.1,0,,February,Android,Chrome,Asia-Pacific,3,Returning,FALSE,No
f4YEyO1FaQgLmV41,4,0,0,0,0,8,426.6666667,0,0.0125,,0,February,Android,Edge,Asia-Pacific,2,Returning,FALSE,No
yTMznv9shMpn9lTB,3,0,0,,,3,135,0,0.066666667,0,0,February,Android,Edge,Asia-Pacific,3,,FALSE,No
N9UAaejyg3ocRWoy,4,0,0,0,0,16,588.3333333,0,0.025,0,0,February,Android,Edge,North America,1,Returning,FALSE,No
v0FeJrPNXUBZ9lXw,1,10,1005.666667,0,0,36,2111.341667,0.004347826,0.014492754,11.43941195,0,February,Android,,,2,Returning,FALSE,Yes
pvl3hI3UV6T221ev,,0,0,0,0,2,76,0,0.05,0,0.6,February,iOS,Chrome,Asia-Pacific,3,Returning,FALSE,No
UAwXl2Aw3DmN0fBS,2,0,0,0,0,1,0,0.2,0.2,0,1,February,Windows,Safari,North America,3,Returning,TRUE,No
fJY3xjbZx3guOxeM,1,0,0,0,0,1,0,0.2,0.2,0,0.4,February,Windows,Safari,North America,3,Returning,FALSE,No
DSlBHdgHlyvJhG7t,3,0,0,0,0,7,208,0,0.028571429,0,0,February,MacOS,Safari,,5,Returning,TRUE,No
vfOmx9cWNhx8Mx3d,3,0,0,0,0,4,270,0,0.016666667,0,0.8,February,,Safari,North America,3,Returning,FALSE,No
uQetbEmy8Rg7bYGZ,2,0,0,0,0,6,39.5,0,0.02,0,0,February,Android,Chrome,North America,3,Returning,FALSE,No
4CuGREPCVUWHUJg8,4,0,0,0,0,12,375,0.016666667,0.058333333,0,0,February,iOS,Chrome,South America,1,Returning,FALSE,No
vcO5S5AiqIEXQtRp,3,0,0,0,0,1,0,0.2,0.2,0,0.8,February,Android,Chrome,Europe,1,Returning,TRUE,No
rWEo1ZBHDhFWjtBD,0,0,0,0,0,1,0,0.2,0.2,0,0,February,Windows,Safari,North America,3,Returning,FALSE,No
v8MYhLCWEE5FrdV0,0,0,0,0,0,7,150,0.057142857,0.085714286,0,0,February,Android,Chrome,Europe,1,Returning,FALSE,No
yYMbWm9qcXxap7Y1,0,0,0,0,0,3,138,0,0.066666667,0,0,February,Windows,Safari,North America,3,Returning,FALSE,No
RFEioijvvpbCduzR,3,0,0,0,0,7,337.5,0.028571429,0.023809524,0,0.4,February,MacOS,Safari,Asia-Pacific,3,Returning,FALSE,No
BgNa9U9Uwe57YQbo,0,0,0,0,0,19,620.0333333,0,0.007894737,0,0,February,Windows,,South America,2,Returning,FALSE,No
ccMk2Dr2nX8NNdUP,0,2,36,0,0,15,168.8461538,0,,0,0.4,February,Windows,Safari,North America,3,Returning,FALSE,No
3juU8W0ik7zV4m9N,0,0,0,0,0,1,0,0.2,0.2,0,0,February,Windows,Safari,North America,2,Returning,TRUE,No
OEABnYgwgcwiU1Hs,3,0,0,0,0,2,52,0,0.1,,0,February,Windows,Safari,North America,3,Returning,FALSE,No
8mlbSk2fFo2c0USe,3,0,0,0,0,13,649.25,0,0.015384615,0,0,February,Android,Chrome,North America,5,New,FALSE,No
sryVsXyxbhgTgrxp,3,0,0,0,0,27,925.3333333,0.003703704,0.025925926,0,0.6,February,MacOS,Safari,Asia-Pacific,3,Returning,FALSE,No
4MT3bdYsOYXmq6Vk,3,0,0,0,0,2,33,0,0.1,0,0.2,February,Windows,Safari,North America,3,Returning,FALSE,No
vIglzMVSbEedosZ4,,0,0,0,0,6,1566.5,0.05,0.066666667,0,0.2,February,Windows,Safari,North America,3,Returning,FALSE,No
fPoTNS5GmE6Kwc2W,4,0,0,0,0,4,105,0,0.025,0,0.6,February,Windows,Safari,North America,4,Returning,FALSE,No
AzSOWnO0EQIkzPUP,4,0,0,1,0,7,50,0.038095238,0.080952381,0,0.6,February,Android,Edge,North America,7,Returning,FALSE,No
OrN2iGnbT241PwXq,4,0,0,0,0,16,644.2,0.004166667,0.031666667,0,0,February,,Chrome,Asia-Pacific,4,Returning,FALSE,No
KmWg41s8fHPdiXCF,1,3,18.33333333,0,0,38,2635.177778,0,0.008947368,,0.4,February,Android,Edge,North America,2,Returning,FALSE,No
7sYgqtPFOvj8n9DN,1,4,61,0,0,19,607,0,0.026984127,17.53595893,1,February,Windows,Safari,Oceania,4,Returning,TRUE,Yes
giZrAW37gsKX8lL7,4,0,0,0,0,6,415,0,0.033333333,0,0.4,February,Windows,Safari,Asia-Pacific,,Returning,FALSE,No
396XQl6yB28kE6lH,2,2,31,1,16,36,2083.530952,0,0.01351025,0,0.8,February,Android,Chrome,South America,3,Returning,FALSE,No
dU2svhQGf5EK4Uyk,0,3,58.5,0,0,17,281.6666667,0.007058824,0.017647059,0,0,February,Windows,Safari,Asia-Pacific,4,Returning,FALSE,No
nQCgsQioHmhlIMqB,2,0,0,0,0,2,27,0.15,0.15,0,0,February,Windows,Safari,Oceania,2,Returning,FALSE,No
uKB2u9iJ0xtNQj6C,3,0,0,1,0,9,215,0.044444444,0.074074074,0,0.8,February,,Safari,North America,3,Returning,FALSE,No
jEzUaHcCxYtONAbJ,1,0,0,0,0,12,162,0.05,0.066666667,0,0,February,Windows,Safari,North America,3,Returning,FALSE,No
SPQe3lKTUkgyykOR,1,0,0,0,0,2,114,0.05,0.066666667,0,0.8,February,iOS,Internet Explorer,North America,3,Returning,FALSE,No
aEK7yuPmMvhb9cLK,1,6,326.25,4,94,128,5062.213753,0.000854701,0.01791847,0,0,February,Android,Firefox,North America,3,Returning,FALSE,No
2cgemdxTtCyc8w6E,1,0,0,0,0,4,253,0,0.016666667,0,0.6,February,Android,Chrome,Asia-Pacific,3,Returning,FALSE,No
rlhtIjAlffunlvQs,3,0,0,0,0,4,0,0.2,0.2,0,0.4,February,Android,Chrome,North America,3,Returning,FALSE,No
jBPS1cPMqrXvstwe,2,0,0,0,0,1,0,0.2,0.2,0,0.8,February,Windows,Safari,Europe,3,Returning,FALSE,No
2MQhsReUNxyt8Dw5,0,2,22,0,0,25,436.5,0.008,0.024,0,0.2,February,Android,Edge,North America,1,Returning,FALSE,No
UIOUUAtTGnml1VRF,4,0,0,1,93,30,1045.833333,0.012903226,0.035483871,0,0.2,February,Windows,Safari,North America,3,Returning,FALSE,No
JzThnpSwZyfrzPjV,,0,0,0,0,12,317.8333333,0,0.005555556,0,0,February,Windows,Safari,North America,4,Returning,TRUE,No
Ov6qzLxz0KtFqtIc,1,0,0,0,0,21,1146.333333,0,0.012962963,0,0.8,February,iOS,Chrome,North America,3,,FALSE,No
3JMcBDWnwVL50TWo,4,0,0,0,0,11,577,0.018181818,0.027272727,0,0.2,February,Android,Chrome,Asia-Pacific,1,Returning,FALSE,No
jcwEJzwJXvPjqhC7,1,0,0,0,0,8,95,0,0.075,0,0,February,MacOS,,Asia-Pacific,,Returning,FALSE,No
OdvPgE9xcTZP1kcZ,4,0,0,0,0,6,301.5,0,0.111111111,0,0,February,Android,Edge,Other,,Returning,FALSE,No
eIghlWs2G2YRV4Dz,3,0,0,0,0,6,243,0,0.033333333,0,0,February,Android,Edge,South America,1,Returning,FALSE,No
fYaRFG8BHhFwaT0u,0,0,0,0,0,4,135.5,0,0.05,0,0.6,February,Android,Chrome,North America,2,Returning,FALSE,No
XeNICc6xTVnuTQKc,0,0,0,2,75,14,442.3333333,0,0.034375,0,,February,Windows,Safari,Asia-Pacific,3,Returning,FALSE,No
M6LeoYUGSkCz9kIR,2,0,0,0,0,3,41,0,0.066666667,0,0,February,Windows,Safari,Asia-Pacific,,Returning,FALSE,No
mxiygyBmLqEzN601,2,0,0,0,0,11,292.9,0.028,0.11952381,0,0,February,Android,Edge,Asia-Pacific,1,Returning,FALSE,No
SySxvtbrWYQFJrAU,1,0,0,0,0,1,0,0.2,0.2,0,0,February,Windows,Safari,Asia-Pacific,3,Returning,FALSE,No
WWx3Sc5fAQzmjMW1,1,0,0,0,0,9,1238.333333,0,0.040740741,0,0.4,February,Android,Chrome,,3,Returning,FALSE,No
C141wAA6NIPyAuaD,,0,0,0,0,10,225.4666667,0,0.05,0,0.4,February,Windows,Safari,Central America,3,Returning,FALSE,No
RBtCPrS3JQsXKJ0o,4,4,462,0,0,,,0,0.00754717,0,0.6,February,Android,Chrome,Other,3,Returning,FALSE,No
YoKgtT3QyQSsZXXM,2,0,0,0,0,3,13,0.133333333,0.166666667,0,0,February,Android,Edge,North America,1,Returning,FALSE,No
4qg1SAWi7pDg1boh,,0,0,0,0,2,222,0,0.1,0,0,February,Android,Samsung Internet,North America,2,Returning,TRUE,No
lXDpzUbNwCuQH1WB,,2,20,0,0,16,214.8333333,0,0.022222222,0,0,February,Android,Chrome,North America,6,Returning,FALSE,No
LnKs2IliMhJgPc9Z,2,0,0,0,0,1,0,0.2,0.2,0,0,February,iOS,Chrome,Asia-Pacific,3,Returning,FALSE,No
9rOIUb2UjwC7pDFr,2,0,0,0,0,6,2017.166667,0,0.011111111,0,0.8,February,Android,Chrome,South America,3,Returning,FALSE,No
wekYfQMnsD0LxSXO,1,6,111.5,0,0,26,449.0277778,0,0.018518519,0,,February,Windows,Safari,Asia-Pacific,3,Returning,FALSE,No
U9gqqfC1u5fYOCho,3,0,0,0,0,6,158.1666667,0,0.033333333,0,0,February,iOS,Chrome,South America,2,Returning,FALSE,No
OzRCtZ41LBQkFiz1,2,0,0,0,0,9,303.6666667,0.005555556,0.046296296,0,0,February,Android,Edge,Africa,2,Returning,FALSE,No
KvAOP4akIcT8Tgak,3,0,0,0,0,3,25,0,0.066666667,0,0,February,Android,Edge,North America,,,FALSE,No
PkzxRsBPmXgTN41D,4,0,0,0,0,2,42,0.05,0.15,0,0.4,February,Android,Chrome,North America,4,Returning,FALSE,No
NsV9AosuTSoGMrcR,,4,103.625,0,0,14,1003.416667,0,0.018039216,0,0.2,February,Windows,Safari,Asia-Pacific,3,Returning,FALSE,No
i2hjEvaPSvnBiQAJ,,0,0,0,0,1,0,0.2,0.2,0,0,February,Android,Chrome,Oceania,3,Returning,FALSE,No
07EBxVnGTukyKS7Q,,0,0,0,0,9,272.5,0,0.011851852,0,0.2,February,Windows,Safari,Middle East,3,Returning,FALSE,No
vHUvUM9UXaxkbOnV,4,3,19,0,0,8,344,0,0.007407407,0,0,February,Android,Edge,Europe,3,Returning,FALSE,No
IS2BWj9IeeK4aGBI,0,0,0,0,0,1,0,0.2,0.2,0,0,February,Android,Chrome,Europe,3,Returning,FALSE,No
2gvtRiljuIM0uKpL,2,0,0,1,19,10,852,0,0.009090909,0,0,February,Android,,Asia-Pacific,6,Returning,FALSE,No
jSHrIy10JelKxwrG,4,0,0,0,0,3,780,0.066666667,0.066666667,0,0.4,February,Android,Edge,,3,Returning,FALSE,No
5IaOBrpT9PyJDFAG,0,0,0,0,0,3,1038,0,0.033333333,0,0,February,Android,Chrome,North America,1,Returning,FALSE,No
b1RuWou0lu0MbVZw,4,0,0,0,0,4,573,0,0.05,0,0,February,Android,Chrome,Asia-Pacific,3,Returning,FALSE,No
rZ3EhcVxpIZ8JPV5,2,0,0,0,0,,,0.007142857,0.030357143,0,0,February,Windows,Safari,South America,3,Returning,FALSE,No
RljpV0q1AoOjSTHg,4,0,0,0,0,11,316.6666667,0,0.027272727,0,0.8,February,Android,Chrome,Europe,1,Returning,FALSE,No
oF78ppp8svFEGtNx,2,0,0,0,0,20,873.7365079,0.0075,0.028166667,0,0,February,Windows,Chrome,North America,1,Returning,FALSE,No
nGKRH0UW9EG0ToKG,1,0,0,0,0,1,0,0.2,0.2,0,0.4,February,Android,Chrome,Asia-Pacific,4,Returning,FALSE,No
lWtsrIvHyIdjMbV8,4,0,0,0,0,4,16,0.1,0.15,0,0,February,Android,,Africa,1,Returning,FALSE,No
3ZMdycPbCY2iqOh2,1,0,0,0,0,19,615,0,0.026315789,0,0.2,February,Android,Chrome,Asia-Pacific,3,Returning,FALSE,No
KOzwJP4uigvnQVvi,3,0,0,0,0,9,261.75,0,0.026666667,0,0,February,Android,Samsung Internet,North America,1,Returning,FALSE,No
mxZuDS7wwZBWWH7U,2,0,0,0,0,21,615.8831169,0.033333333,0.04993081,0,0,February,iOS,Chrome,Europe,1,Returning,TRUE,No
EanBNnpEFV5rTF7R,3,0,0,0,0,1,0,0.2,0.2,0,0,February,iOS,Internet Explorer,Asia-Pacific,2,Returning,TRUE,No
GUL2JEo1fQZyxzso,,0,0,0,0,6,117.5,0,0.033333333,0,0.8,February,Windows,Safari,North America,3,,TRUE,No
yhwshOfCMcRUYQBm,0,0,0,0,0,1,0,0.2,0.2,0,0,February,Windows,Safari,North America,3,Returning,FALSE,No
VauV2DKY4xItOOLa,3,0,0,0,0,1,0,0.2,0.2,0,0,February,iOS,Chrome,Asia-Pacific,3,Returning,FALSE,No
LodGOEmeNtrYixj3,0,0,0,0,0,,,0.008695652,0.01884058,0,0.6,February,Windows,Safari,South America,2,Returning,FALSE,No
qNtGS0BleDRCa5yi,3,2,58,2,22,31,829.1666667,0.03030303,0.040606061,0,0,February,Windows,Safari,North America,1,Returning,TRUE,No
o75MtmagkHHeFzNm,3,,,0,0,23,1223,0.015217391,0.012463768,0,0,February,Windows,Safari,North America,2,Returning,TRUE,No
JS5LwA56TSpL2p2L,2,0,0,0,0,6,467,0,0.016666667,0,0.4,February,Windows,Safari,Asia-Pacific,,Returning,FALSE,No
wMHdD5m7lai3poKH,3,0,0,0,0,23,737.1666667,0.008695652,0.011594203,0,0.6,February,Android,Chrome,North America,3,Returning,FALSE,No
4lAlTyshWJYwIVwO,2,0,0,0,0,12,129,0,0.033333333,0,0,February,Windows,Safari,Asia-Pacific,2,Returning,FALSE,No
qdd4MKwtdN1vmSuf,4,,,0,0,5,63,0,0.04,0,0,February,Android,Chrome,North America,3,Returning,FALSE,No
qPbTdPHjJ3WFKv4i,0,0,0,0,0,5,125,0.086666667,0.166666667,0,0,February,Android,Chrome,,3,Returning,FALSE,No
yb2t09fVFPT8WeQw,1,0,0,0,0,11,684.3333333,0.018181818,0.063636364,0,0,February,Android,Edge,Middle East,1,Returning,FALSE,No
FRQl0AYQ4IiRzy07,1,0,0,0,0,20,665.4722222,0,0.0145,0,0.8,February,iOS,Chrome,Oceania,4,Returning,TRUE,No
vlpLl6DzG0xrgohI,,1,0,0,0,15,487.5,0,0.019166667,0,0.8,February,Windows,Safari,,4,Returning,TRUE,No
d9oCjPvNBwLRAgvO,1,0,0,0,0,17,437.1666667,0.011111111,0.033333333,0,0,February,Android,Edge,North America,3,Returning,FALSE,No
03fFWodJvDup6xbh,1,0,0,0,0,3,55,0.066666667,0.1,0,0.6,February,Windows,Safari,North America,3,Returning,FALSE,No
LNjo6hEjlcWlh7Vj,1,0,0,0,0,1,0,0.2,0.2,0,0.8,February,Windows,Safari,North America,2,Returning,TRUE,No
O9ZmUGn0px5ReNnN,4,5,41.3,0,0,24,446.9277778,0,0.008602151,0,1,February,Android,Chrome,Central America,1,Returning,TRUE,No
F08HnRkqorzBHCul,3,3,87,0,0,10,320.5,0,0.015384615,0,0,February,Windows,Safari,Europe,3,Returning,FALSE,No
CHBlZXVV9fXP7yVe,4,0,0,0,0,7,666,0,0.014285714,,0,February,Windows,Safari,Middle East,2,Returning,FALSE,No
XoZ4uUOJ17gGqHI6,0,,,0,0,21,405.7095238,0.010743802,0.047002635,0,0,February,,Safari,,4,Returning,FALSE,No
Rm6iCyMGpUt2K0GO,1,0,0,0,0,,,0.2,0.2,0,,February,iOS,Chrome,Asia-Pacific,3,Returning,FALSE,No
fCcpE1K3tbGTBCo1,2,0,0,0,0,6,163.25,0.033333333,0.033333333,0,0.6,February,Windows,Safari,Middle East,2,Returning,FALSE,No
eaaloExUzNXMQs97,0,0,0,0,0,17,284.25,0,0.011764706,0,0,February,iOS,Chrome,,2,Returning,TRUE,No
OTj8kmmfzEjxeQGr,1,0,0,0,0,1,0,0.2,0.2,0,0.6,February,MacOS,Chrome,,3,Returning,FALSE,No
uqkIkXdZXAVbHqwZ,4,0,0,0,0,1,0,0.2,0.2,0,0,February,Android,Edge,North America,1,Returning,FALSE,No
ClZrCBth70ZvAgg5,4,0,0,0,0,8,260,0.008333333,0.025,0,0.8,February,iOS,Chrome,North America,3,Returning,TRUE,No
imLzArGOS7AzF2m1,1,0,0,16,1210.397619,5,279.8571429,0.003174603,0.012764202,0,0,March,Android,Chrome,North America,8,Returning,FALSE,No
q8fvPWoAuMUhWpQy,0,0,0,,,20,927.45,0.011111111,0.027248677,8.000740741,,March,Windows,Safari,Asia-Pacific,1,Returning,FALSE,No
vicIALIgW4XcrgZj,1,2,9,0,0,50,836.8,0,0.006339869,0,0,March,Android,Chrome,Asia-Pacific,2,Returning,FALSE,No
oG7NYU6IhBqEsso0,2,10,293.7782051,2,153,96,3283.166739,0.001960784,0.013509414,0,0,March,iOS,Chrome,Middle East,2,Returning,TRUE,No
